,0
0,
1,0.0584989789609757
2,0.12258212364917608
3,0.14077978621921092
4,0.15894494396952652
5,0.17536998696418987
6,0.19222782557104717
7,0.20649374540103016
8,0.21973094170403587
9,0.21902694881533732
10,0.215027784489007
11,0.2119760479041916
12,0.205168986083499
13,0.23613963039014374
14,0.23635153129161118
15,0.23621399176954733
16,0.25315126050420167
17,0.2607052896725441
18,0.24202898550724639
19,0.25830258302583026
20,0.23820224719101124
21,0.23896103896103896
22,0.22950819672131148
23,0.2440677966101695
24,0.24285714285714285
25,0.204
26,0.189873417721519
27,0.2597402597402597
28,0.1382488479262673
29,0.2229299363057325
30,0.1875
31,0.2426470588235294
32,0.20869565217391303
33,0.18796992481203006
34,0.21008403361344538
35,0.2
36,0.2692307692307692
37,0.21333333333333335
38,0.15789473684210525
39,0.19736842105263158
40,0.2
41,0.1864406779661017
42,0.14545454545454545
43,0.17857142857142858
44,0.2608695652173913
45,0.25
46,0.2127659574468085
47,0.15384615384615385
48,0.27586206896551724
49,0.15
50,0.14005069708491763
